************************Header***************************

************************Result***************************
Directory:     ['\\\\130.60.131.134\\studi\\Filme\\frueher_Film', '\\\\130.60.131.134\\studi\\Filme\\mittlere_Filme', '\\\\130.60.131.134\\studi\\Filme\\spaete_Filme']
Total Folders: 470


*******************File Information**********************
n-Correct      n-Multiple     n-Incorrect    n-Not-Started  n-Total        
166            54             62             188            470            


************************Details***************************
Legend
PR: Pre-Naming Nomeclature
MS: Missing Segmentation
AL: Everything OK


         Status       n-Movies         n-ELAN    n-Filemaker     n-Segment.      n-Folders     n-Indexing    n-Timestamp    n-PreNaming       n-Others               Path 
          OK-AL              1              1              1              1              1              0            578              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\1278_The_River_1951
          OK-MS              1              1              1              0              1              0            984              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\127_The_Four_Feathers_1939
   ***Incorrect              1              1              1              1              1              0              0              0            302               \\130.60.131.134\studi\Filme\mittlere_Filme\13_Wings_of_the_Morning_1937
   ***Incorrect              1              1              1              0              1              0              0              0            426               \\130.60.131.134\studi\Filme\mittlere_Filme\143_The_War_of_the_Worlds_1953
          OK-AL              1              1              1              1              1              0            439              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\1475_Brigadoon_1954
      *Multiple              2              1              1              1              1              0            636              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\1713_Maske_in_Blau_1953
   *Not Started              1              0              1              1              2              0              0              0            481               \\130.60.131.134\studi\Filme\mittlere_Filme\177_Frauen_sind_doch_bessere_Diplomaten_1941
   *Not Started              1              0              1              1              2              0            838              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\180_The_Red_Shoes_1948
   ***Incorrect              1              1              1              0              1              0            264              0              2               \\130.60.131.134\studi\Filme\mittlere_Filme\181_She_Wore_A_Yellow_Ribbon_1949
   *Not Started              1              0              1              1              2              0            191              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\182_Making_Fashion_1938
          OK-AL              1              1              1              1              1              0            639              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\183_Kolberg_1945
      *Multiple              1              4              4              1              1              0              0            684              0               \\130.60.131.134\studi\Filme\mittlere_Filme\184_Black_Narcissus_1947
   *Not Started              1              0              1              1              2              0              0              0            885               \\130.60.131.134\studi\Filme\mittlere_Filme\185_The_Adventures_of_Robin_Hood_1938
          OK-AL              1              1              1              1              1              0            482              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\1866_The_Long_Long_Trailer_1953
   *Not Started              1              0              1              1              2              0            606              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\186_Muenchhausen_1943
   *Not Started              1              0              1              1              2              0              0              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\18_Blood_and_Sand_1941
   *Not Started              1              0              0              0              0              0              0              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\2050_Du_Barry_was_a_Lady_1943
   *Not Started              1              0              1              1              2              0              0              0            401               \\130.60.131.134\studi\Filme\mittlere_Filme\223_Immensee_1943
   *Not Started              3              0              1              1              2              0            473              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\224_Opfergang_1944
          OK-AL              1              1              1              1              1              0             55              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\225_New_York_1938
   *Not Started              1              0              1              1              2              0              0              0             25               \\130.60.131.134\studi\Filme\mittlere_Filme\226_Jeunes_femmes_prenant_le_the_1937
          OK-MS              1              1              1              0              1              0            896              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\228_Snow_White_And_The_Seven_Dwarfs_1937
      *Multiple              1              2              2              1              1              0              0            468              0               \\130.60.131.134\studi\Filme\mittlere_Filme\230_Meet_Me_in_St_Louis_1944
          OK-AL              1              1              1              1              1              0            666              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\231_The_Trail_of_the_Lonesome_Pine_1936
      *Multiple              1              1              3              1              2              0              0            462              0               \\130.60.131.134\studi\Filme\mittlere_Filme\237_The_Tales_of_Hoffmann_1951
